station,level,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13,R15,R17,R18,R19,AA,MA,NH,NW,SF,SK,SV,TA,VA,VC
ท่าเรือข้ามฟากสงขลา (ฝั่งหัวเขาแดง),2,40.28,0.0,,,,,,,0.0,,,,,,23.33,,60.0,73.33,30.0,0,33.18,20.0,0.0,0.0,70.0,20.0,0
ท่าเรือคงคา,2,69.85,0.0,66.33,,54.17,,60.0,65.71,0.0,100.0,,38.64,,44.0,36.67,100.0,,58.33,65.33,0,62.97,82.22,0.0,44.0,50.0,42.5,0
ท่าเรือทุ่งมะขามน้อย,2,74.27,,65.5,,47.5,80.83,,68.57,63.21,0.0,100.0,70.91,82.5,44.0,54.44,91.25,80.0,79.29,66.57,20.0,73.07,81.54,0.0,44.0,58.57,51.38,0
ท่าเรือปากบารา,2,,,71.09,100.0,58.75,76.67,76.61,77.14,0.0,,,,40.0,,,73.33,,35.71,75.82,0,77.12,89.19,0.0,0.0,40.37,62.83,0
ท่าเรือรัษฎา,2,74.62,,65.05,,57.78,68.23,67.74,79.39,69.64,0.0,100.0,52.27,44.06,44.0,56.67,100.0,57.5,63.0,74.41,20.0,74.17,85.12,0.0,44.0,43.16,53.33,0
ท่าเรือสวนเจ้าฟ้า,2,71.11,,71.0,,,,62.5,,0.0,100.0,,61.36,40.0,44.0,36.67,100.0,,72.5,65.83,0,73.29,84.0,0.0,44.0,48.0,37.5,0
ท่าเรือสุระกุล,2,10.0,,69.26,,45.0,,,73.21,0.0,0.0,,55.0,33.33,44.0,23.33,70.0,10.0,35.0,80.0,0,68.84,80.0,0.0,44.0,47.78,29.09,0
สถานีขนส่งผู้โดยสารจังหวัดกระบี่,2,74.33,20.28,81.3,,53.17,88.33,,81.43,78.93,73.75,,52.27,15.0,30.0,52.38,75.0,100.0,56.67,77.05,53.33,83.06,95.2,0.0,30.0,50.43,55.56,0
สถานีขนส่งผู้โดยสารจังหวัดตรัง,2,58.29,0.0,,100.0,65.73,88.33,83.75,75.36,73.46,0.0,51.11,63.36,,44.0,50.0,100.0,100.0,44.12,71.03,25.0,74.34,82.22,0.0,44.0,50.5,83.85,0
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,2,10.0,,51.12,,56.39,60.0,81.25,72.57,25.12,0.0,67.78,52.66,32.5,44.0,36.67,54.64,,46.25,74.42,85.0,61.76,90.95,0.0,44.0,47.2,54.86,0
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,2,80.83,0.0,78.2,100.0,54.58,,65.0,90.0,67.04,0.0,67.78,67.73,46.25,44.0,50.0,100.0,80.0,55.33,70.0,45.0,88.38,91.11,0.0,44.0,53.55,61.25,0
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,2,73.44,0.0,78.88,100.0,57.78,,56.94,83.81,71.25,86.25,63.33,70.91,51.88,58.0,32.22,100.0,63.75,67.5,68.15,25.0,84.03,91.76,0.0,58.0,51.79,51.25,0
สถานีขนส่งผู้โดยสารจังหวัดพังงา,2,83.46,,79.81,91.25,58.33,69.67,71.74,90.0,72.86,86.25,30.0,67.12,25.0,30.0,43.33,75.0,80.0,58.0,80.45,20.0,81.12,90.48,0.0,30.0,64.69,59.12,0
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,2,64.46,0.0,78.53,100.0,65.0,,88.89,86.67,68.36,31.88,66.67,60.91,46.25,44.0,50.0,100.0,80.0,52.73,79.14,23.33,77.75,90.34,0.0,44.0,43.7,74.58,0
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,2,78.08,,68.2,,56.67,77.0,85.38,89.76,79.29,0.0,67.5,49.55,46.25,100.0,63.45,100.0,55.0,51.67,82.03,100.0,79.59,94.55,0.0,100.0,51.33,57.07,0
สถานีขนส่งผู้โดยสารจังหวัดระนอง,2,,0.0,72.29,,55.0,88.33,,76.07,81.43,73.75,65.0,55.45,28.75,44.0,36.67,75.0,100.0,54.29,80.0,100.0,80.0,88.0,0.0,44.0,43.46,42.76,0
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,2,,,75.43,,60.56,67.22,62.5,82.86,75.71,77.5,58.89,58.64,32.5,72.0,51.75,100.0,80.0,52.86,76.88,65.0,76.58,70.43,0.0,72.0,52.86,58.72,0
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),2,70.52,,76.96,,43.33,,,75.0,81.11,0.0,100.0,50.0,40.0,44.0,63.33,70.0,,47.5,81.33,60.0,75.88,85.88,0.0,44.0,42.5,64.12,0
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,2,68.69,0.0,74.67,100.0,49.38,83.33,44.0,77.86,62.86,50.0,30.0,38.79,27.5,30.0,23.33,100.0,65.0,63.57,63.95,20.0,79.08,85.45,0.0,30.0,41.11,42.17,0
สถานีขนส่งสตูล,2,75.79,0.0,95.62,100.0,55.0,83.33,67.5,82.14,76.8,0.0,,70.91,46.25,44.0,50.0,100.0,,46.36,76.0,20.0,81.79,82.22,0.0,44.0,62.11,76.67,0
สถานีขนส่งหาดใหญ่,2,51.11,,70.67,100.0,58.33,,94.17,60.24,82.69,0.0,60.0,55.61,37.75,47.5,51.07,100.0,57.5,51.67,82.16,40.0,65.38,95.29,0.0,47.5,39.57,58.18,0
สถานีรถไฟชุมทางทุ่งสง,2,,0.0,78.16,,60.56,84.58,68.33,83.1,69.0,73.75,61.33,63.18,58.75,58.0,56.43,61.25,100.0,54.0,74.73,60.0,76.77,91.11,0.0,58.0,53.33,61.32,0
สถานีรถไฟชุมทางหาดใหญ่,2,,18.61,70.66,100.0,52.78,,83.89,85.0,85.77,96.25,30.0,58.86,,44.0,56.67,66.67,77.5,74.17,80.82,65.0,78.77,85.56,0.0,44.0,50.97,56.79,0
สถานีรถไฟชุมพร,2,62.75,20.67,82.67,100.0,67.14,61.67,69.17,63.57,0.0,39.38,64.0,65.0,20.0,44.0,63.33,71.43,,60.0,70.6,41.43,57.45,85.14,0.0,44.0,47.58,50.95,0
สถานีรถไฟตรัง,2,59.1,0.0,87.61,,65.0,76.67,85.42,81.9,63.85,78.75,63.33,67.73,50.0,44.0,50.0,100.0,100.0,74.44,83.0,25.0,77.7,83.33,0.0,44.0,53.04,66.67,0
สถานีรถไฟปัตตานี (โคกโพธิ์),2,31.28,0.0,62.59,100.0,55.0,75.0,57.5,82.62,70.19,0.0,63.33,64.77,32.5,80.0,36.67,100.0,70.0,66.0,69.71,25.0,73.75,87.5,0.0,80.0,49.13,63.68,0
สถานีรถไฟพัทลุง,2,82.22,19.69,82.34,100.0,80.0,,88.89,91.9,74.23,77.5,74.44,66.82,,58.0,43.33,100.0,100.0,68.75,83.39,27.5,83.31,93.6,0.0,58.0,60.42,75.91,0
สถานีรถไฟยะลา,2,49.47,44.63,60.61,100.0,64.17,60.42,58.75,79.05,59.02,63.75,30.0,47.95,46.25,44.0,76.67,100.0,57.5,60.83,62.74,26.0,66.24,78.06,0.0,44.0,34.84,63.14,0
สถานีรถไฟสุราษฎร์ธานี,2,41.06,20.28,75.2,,59.17,,69.17,81.9,0.0,77.5,100.0,68.64,32.5,100.0,46.67,58.89,57.5,67.33,75.2,30.0,75.67,93.68,0.0,100.0,49.68,52.17,0
สถานีรถไฟสุไหงโก-ลก,2,76.15,37.35,73.97,100.0,53.33,66.67,65.0,75.71,80.37,39.38,87.0,55.62,32.5,57.5,59.52,100.0,68.75,76.67,77.54,66.0,79.15,65.71,0.0,57.5,41.32,57.3,0
ท่าอากาศยานกระบี่,3,74.44,,73.87,83.84,65.0,78.93,79.23,88.71,73.23,0.0,100.0,38.31,20.0,100.0,56.59,83.7,57.5,71.74,73.2,100.0,85.2,95.29,0.0,100.0,59.74,54.07,0
ท่าอากาศยานชุมพร,3,75.45,51.07,72.51,,49.78,64.93,62.31,87.05,76.18,73.75,100.0,61.54,19.17,100.0,70.0,88.75,,60.43,79.66,76.67,82.36,80.43,0.0,100.0,46.18,61.76,0
