Station Name,Station Type,Province,Lat,Lon,Coordinate,PTAI,AI,II,IFI,OVERALL,OA,OI,Level,All item checked,Facilites checked,Area checked,P items,M items,D items,IS1 items,IS2 items,IS3 items,X1 items,X2 items,X4 items
สถานีขนส่งผู้โดยสารจังหวัดพังงา,bus,พังงา,8.432091,98.52278299999999,"8.432091,98.52278299999999",0.2,0.37,0.0,3.11,51.17,57.4375,44.9,1,195,16,44,96,45,54,89,83,19,108,30,53
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,bus,พัทลุง,7.6322079,100.04726190000001,"7.6322079,100.04726190000001",0.2,0.49,0.0,3.04,52.16,59.8125,44.5,1,143,16,30,89,17,37,62,48,26,69,30,37
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,bus,ภูเก็ต,7.9178428,98.39493900000001,"7.9178428,98.39493900000001",0.4,0.71,0.02,3.27,57.32,64.13333333333334,50.5,1,156,15,35,89,33,34,79,60,14,95,24,34
สถานีขนส่งผู้โดยสารจังหวัดระนอง,bus,ระนอง,9.9548572,98.6387998,"9.9548572,98.6387998",0.0,0.0,0.0,3.42,47.79,49.57142857142857,46.0,1,152,14,33,84,21,47,66,74,9,71,23,55
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,bus,สุราษฎร์ธานี,9.111613400000001,99.2983044,"9.111613400000001,99.2983044",0.3,0.6,0.0,3.36,52.76,61.92857142857143,43.6,1,150,14,30,78,20,52,82,56,10,76,34,38
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),bus,ชุมพร,10.4869959,99.1206392,"10.4869959,99.1206392",0.0,0.0,0.0,3.11,46.85,50.0,43.7,1,109,12,22,60,12,37,52,38,16,62,19,25
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,bus,ยะลา,6.5559716,101.2682503,"6.5559716,101.2682503",0.0,0.02,0.0,2.94,43.94,50.470588235294116,37.4,1,165,17,39,96,19,50,63,57,34,84,25,45
สถานีขนส่งสตูล,ferry,สตูล,6.597249000000001,100.066571,"6.597249000000001,100.066571",0.3,0.58,0.0,2.95,53.27,61.53333333333333,45.0,1,108,15,24,65,17,26,47,33,22,57,19,26
สถานีขนส่งหาดใหญ่,bus,สงขลา,6.9946619000000005,100.48195009999999,"6.9946619000000005,100.48195009999999",0.1,0.25,0.0,3.11,47.72,54.93333333333333,40.5,1,129,15,33,53,28,48,64,38,23,74,20,31
สถานีรถไฟชุมทางทุ่งสง,train,นครศรีธรรมราช,8.170674,99.679337,"8.170674,99.679337",0.2,0.33,0.0,3.21,52.05,56.6,47.5,1,163,15,34,90,26,47,81,57,18,91,24,41
สถานีรถไฟชุมทางหาดใหญ่,train,สงขลา,7.0039039999999995,100.467676,"7.0039039999999995,100.467676",0.2,0.34,0.0,3.24,52.39,56.785714285714285,48.0,1,145,14,32,78,24,43,73,51,15,81,28,30
