fid,Name_gmap,s_id,agency,name_th,name_en,stn_mode,stn_level,province,phase1,stn_id,description,subdistrict,district,region,acc_score,x,y
156,Khan Thuli,245,รฟท,สถานีรถไฟคันธุลี,Khan Thuli,train,3,สุราษฎร์ธานี,,4212,ธนบุรี - สุไหงโกลก,คันธุลี,ท่าชนะ,south,,9.66661,99.1459
125,Khiri Ratthanikhom,246,รฟท,สถานีรถไฟคีรีรัฐนิคม,KHIRI RATTHANIKHOM,train,3,สุราษฎร์ธานี,,4238,ทุ่งโพธิ์ - คีรีรัฐนิคม,ท่าขนอน,คีรีรัฐนิคม,south,,9.0312989,98.9470651
166,Ban Thung Pho Junction,247,รฟท,สถานีรถไฟชุมทางบ้านทุ่งโพธิ์,Ban Thung Pho Junction,train,2,สุราษฎร์ธานี,,4229,ธนบุรี - สุไหงโกลก,พุนพิน,พุนพิน,south,,9.1211083,99.2016486
117,Ban Thung Pho Junction,248,รฟท,สถานีรถไฟชุมทางบ้านทุ่งโพธิ์,BAN THUNG PHO JUNCTION,train,3,สุราษฎร์ธานี,,4229,ทุ่งโพธิ์ - คีรีรัฐนิคม,พุนพิน,พุนพิน,south,,9.1211083,99.2016486
161,Chaiya,249,รฟท,สถานีรถไฟไชยา,Chaiya,train,1,สุราษฎร์ธานี,,4221,ธนบุรี - สุไหงโกลก,ตลาดไชยา,ไชยา,south,,9.38851,99.1953
157,Don Thup,250,รฟท,สถานีรถไฟดอนธูป,Don Thup,train,3,สุราษฎร์ธานี,,4213,ธนบุรี - สุไหงโกลก,คันธุลี,ท่าชนะ,south,,9.63483,99.1551
162,Tha Chang,251,รฟท,สถานีรถไฟท่าฉาง,Tha Chang,train,2,สุราษฎร์ธานี,,4224,ธนบุรี - สุไหงโกลก,เขาถ่าน,ท่าฉาง,south,,9.2753613,99.1993514
158,Tha Chana,252,รฟท,สถานีรถไฟท่าชนะ,Tha Chana,train,2,สุราษฎร์ธานี,,4215,ธนบุรี - สุไหงโกลก,สมอทอง,ท่าชนะ,south,,9.5657137,99.1650956
174,Na San,253,รฟท,สถานีรถไฟนาสาร,Na San,train,1,สุราษฎร์ธานี,,4250,ธนบุรี - สุไหงโกลก,นาสาร,บ้านนาสาร,south,,8.8012732,99.362348
169,Bo Krang,254,รฟท,สถานีรถไฟบ่อกรัง,Bo Krang,train,ที่หยุดรถ,สุราษฎร์ธานี,,4243,ธนบุรี - สุไหงโกลก,ท่าสะท้อน,พุนพิน,south,,9.00995,99.2694
159,Ban Ko Muk,255,รฟท,สถานีรถไฟบ้านเกาะมุกข์,Ban Ko Muk,train,ที่หยุดรถ,สุราษฎร์ธานี,,4217,ธนบุรี - สุไหงโกลก,ประสงค์,ท่าชนะ,south,,9.5457932,99.1679248
120,Ban Khanai,256,รฟท,สถานีรถไฟบ้านขนาย,Ban Khanai,train,ที่หยุดรถ,สุราษฎร์ธานี,,4233,ทุ่งโพธิ์ - คีรีรัฐนิคม,บางงอน,พุนพิน,south,,9.0941811,99.0845928
118,Ban Don Rak,257,รฟท,สถานีรถไฟบ้านดอนรัก,Ban Don Rak,train,ที่หยุดรถ,สุราษฎร์ธานี,,4230,ทุ่งโพธิ์ - คีรีรัฐนิคม,หนองไทร,พุนพิน,south,,9.1208066,99.1712063
121,Ban Don Riap,258,รฟท,สถานีรถไฟบ้านดอนเรียบ,Ban Don Riap,train,ที่หยุดรถ,สุราษฎร์ธานี,,4234,ทุ่งโพธิ์ - คีรีรัฐนิคม,บางงอน,พุนพิน,south,,9.0847916,99.0543018
119,Ban Thung Luang,259,รฟท,สถานีรถไฟบ้านทุ่งหลวง,Ban Thung Luang,train,ที่หยุดรถ,สุราษฎร์ธานี,,4232,ทุ่งโพธิ์ - คีรีรัฐนิคม,น้ำรอบ,พุนพิน,south,,9.1045912,99.1180913
172,Ban Na,260,รฟท,สถานีรถไฟบ้านนา,Ban Na,train,2,สุราษฎร์ธานี,,4247,ธนบุรี - สุไหงโกลก,บ้านนา,บ้านนาเดิม,south,,8.8866227,99.3104883
179,Ban Phru Krachaeng,261,รฟท,สถานีรถไฟบ้านพรุกระแชง,Ban Phru Krachaeng,train,3,สุราษฎร์ธานี,,4257,ธนบุรี - สุไหงโกลก,บ้านส้อง,เวียงสระ,south,,8.5933688,99.4213701
124,Ban Yang,262,รฟท,สถานีรถไฟบ้านยาง,Ban Yang,train,ที่หยุดรถ,สุราษฎร์ธานี,,4237,ทุ่งโพธิ์ - คีรีรัฐนิคม,ท่าขนอน,คีรีรัฐนิคม,south,,9.037263,98.9564318
178,Ban Song,263,รฟท,สถานีรถไฟบ้านส้อง,Ban Song,train,1,สุราษฎร์ธานี,,4255,ธนบุรี - สุไหงโกลก,บ้านส้อง,เวียงสระ,south,,8.63367,99.3723
176,Phruphi,264,รฟท,สถานีรถไฟพรุพี,Phruphi,train,2,สุราษฎร์ธานี,,4253,ธนบุรี - สุไหงโกลก,พรุพี,บ้านนาสาร,south,,8.7084466,99.3535
165,Maluan,265,รฟท,สถานีรถไฟมะลวน,Maluan,train,2,สุราษฎร์ธานี,,4227,ธนบุรี - สุไหงโกลก,มะลวน,พุนพิน,south,,9.1654098,99.1590679
167,Suratthani Station,266,รฟท,สถานีรถไฟสุราษฎร์ธานี,Surat Thani,train,1,สุราษฎร์ธานี,1,4239,ธนบุรี - สุไหงโกลก,ท่าข้าม,พุนพิน,south,,9.104137,99.23048
173,Huai Mut,267,รฟท,สถานีรถไฟห้วยมุด,Huai Mut,train,3,สุราษฎร์ธานี,,4249,ธนบุรี - สุไหงโกลก,นาสาร,บ้านนาสาร,south,,8.83529,99.3499
,,268,,ท่าเรือสุระกุล,Surakul Pier,ferry,1,พังงา,1,p063,,,,south,,8.390053446,98.46033096
,,269,,ท่าเรือคงคา,Kong Ka Pier,ferry,1,กระบี่,1,p064,,,,south,,8.061873,98.919443
